G2longitude,G2latitude,G2year,G2month,G2depth,G2tco2,Ocean_Region
30.502,84.025,1987.0,7.0,2752.0,2152.0,Pacific
30.502,84.025,1987.0,7.0,2947.0,2151.0,Pacific
30.502,84.025,1987.0,7.0,3142.0,2151.0,Pacific
30.502,84.025,1987.0,7.0,3288.0,2152.0,Pacific
30.502,84.025,1987.0,7.0,3433.0,2154.0,Pacific
30.502,84.025,1987.0,7.0,3580.0,2154.0,Pacific
30.502,84.025,1987.0,7.0,3726.0,2157.0,Pacific
30.502,84.025,1987.0,7.0,3849.0,2158.0,Pacific
30.502,84.025,1987.0,7.0,3944.0,2160.0,Pacific
30.502,84.025,1987.0,7.0,3993.0,2160.0,Pacific
29.33,85.083,1987.0,7.0,20.0,2097.0,Pacific
29.33,85.083,1987.0,7.0,40.0,2104.0,Pacific
29.33,85.083,1987.0,7.0,60.0,2108.0,Pacific
29.33,85.083,1987.0,7.0,74.0,2107.0,Pacific
29.33,85.083,1987.0,7.0,89.0,2104.0,Pacific
29.33,85.083,1987.0,7.0,104.0,2110.0,Pacific
29.33,85.083,1987.0,7.0,119.0,2110.0,Pacific
29.33,85.083,1987.0,7.0,133.0,2116.0,Pacific
29.33,85.083,1987.0,7.0,148.0,2118.0,Pacific
29.33,85.083,1987.0,7.0,162.0,2125.0,Pacific
29.33,85.083,1987.0,7.0,177.0,2125.0,Pacific
29.33,85.083,1987.0,7.0,197.0,2129.0,Pacific
29.33,85.083,1987.0,7.0,218.0,2129.0,Pacific
29.33,85.083,1987.0,7.0,247.0,2132.0,Pacific
29.33,85.083,1987.0,7.0,297.0,2136.0,Pacific
29.33,85.083,1987.0,7.0,345.0,2138.0,Pacific
29.33,85.083,1987.0,7.0,395.0,2139.0,Pacific
29.33,85.083,1987.0,7.0,494.0,2146.0,Pacific
29.33,85.083,1987.0,7.0,617.0,2152.0,Pacific
29.33,85.083,1987.0,7.0,741.0,2153.0,Pacific
29.33,85.083,1987.0,7.0,838.0,2147.0,Pacific
29.33,85.083,1987.0,7.0,937.0,2152.0,Pacific
29.33,85.083,1987.0,7.0,1085.0,2152.0,Pacific
29.33,85.083,1987.0,7.0,1234.0,2159.0,Pacific
29.33,85.083,1987.0,7.0,1380.0,2149.0,Pacific
29.33,85.083,1987.0,7.0,1576.0,2158.0,Pacific
29.33,85.083,1987.0,7.0,1772.0,2159.0,Pacific
29.33,85.083,1987.0,7.0,1920.0,2157.0,Pacific
29.33,85.083,1987.0,7.0,2067.0,2154.0,Pacific
29.33,85.083,1987.0,7.0,2214.0,2153.0,Pacific
29.33,85.083,1987.0,7.0,2361.0,2147.0,Pacific
29.33,85.083,1987.0,7.0,2556.0,2153.0,Pacific
29.33,85.083,1987.0,7.0,2752.0,2151.0,Pacific
29.33,85.083,1987.0,7.0,2947.0,2158.0,Pacific
29.33,85.083,1987.0,7.0,3142.0,2154.0,Pacific
29.33,85.083,1987.0,7.0,3287.0,2153.0,Pacific
29.33,85.083,1987.0,7.0,3433.0,2157.0,Pacific
29.33,85.083,1987.0,7.0,3580.0,2155.0,Pacific
29.33,85.083,1987.0,7.0,3726.0,2156.0,Pacific
29.33,85.083,1987.0,7.0,3833.0,2156.0,Pacific
29.33,85.083,1987.0,7.0,3930.0,2158.0,Pacific
29.33,85.083,1987.0,7.0,3982.0,2158.0,Pacific
26.142,85.368,1987.0,7.0,20.0,2096.0,Pacific
26.142,85.368,1987.0,7.0,30.0,2100.0,Pacific
26.142,85.368,1987.0,7.0,39.0,2109.0,Pacific
26.142,85.368,1987.0,7.0,49.0,2111.0,Pacific
26.142,85.368,1987.0,7.0,59.0,2112.0,Pacific
26.142,85.368,1987.0,7.0,70.0,2113.0,Pacific
26.142,85.368,1987.0,7.0,83.0,2115.0,Pacific
26.142,85.368,1987.0,7.0,99.0,2115.0,Pacific
26.142,85.368,1987.0,7.0,114.0,2111.0,Pacific
26.142,85.368,1987.0,7.0,128.0,2113.0,Pacific
26.142,85.368,1987.0,7.0,148.0,2116.0,Pacific
26.142,85.368,1987.0,7.0,168.0,2121.0,Pacific
26.142,85.368,1987.0,7.0,197.0,2131.0,Pacific
26.142,85.368,1987.0,7.0,227.0,2137.0,Pacific
26.142,85.368,1987.0,7.0,256.0,2142.0,Pacific
26.142,85.368,1987.0,7.0,296.0,2147.0,Pacific
26.142,85.368,1987.0,7.0,346.0,2149.0,Pacific
26.142,85.368,1987.0,7.0,395.0,2150.0,Pacific
26.142,85.368,1987.0,7.0,495.0,2150.0,Pacific
26.142,85.368,1987.0,7.0,641.0,2151.0,Pacific
26.142,85.368,1987.0,7.0,790.0,2150.0,Pacific
26.142,85.368,1987.0,7.0,938.0,2153.0,Pacific
26.142,85.368,1987.0,7.0,1085.0,2158.0,Pacific
25.292,85.523,1987.0,7.0,24.0,2100.0,Pacific
25.292,85.523,1987.0,7.0,50.0,2114.0,Pacific
25.292,85.523,1987.0,7.0,74.0,2114.0,Pacific
25.292,85.523,1987.0,7.0,99.0,2115.0,Pacific
25.292,85.523,1987.0,7.0,119.0,2117.0,Pacific
25.292,85.523,1987.0,7.0,138.0,2120.0,Pacific
25.292,85.523,1987.0,7.0,158.0,2125.0,Pacific
25.292,85.523,1987.0,7.0,198.0,2133.0,Pacific
25.292,85.523,1987.0,7.0,246.0,2139.0,Pacific
25.292,85.523,1987.0,7.0,298.0,2139.0,Pacific
25.292,85.523,1987.0,7.0,395.0,2140.0,Pacific
25.292,85.523,1987.0,7.0,544.0,2143.0,Pacific
25.292,85.523,1987.0,7.0,691.0,2151.0,Pacific
25.292,85.523,1987.0,7.0,888.0,2153.0,Pacific
25.292,85.523,1987.0,7.0,1135.0,2154.0,Pacific
25.292,85.523,1987.0,7.0,1380.0,2158.0,Pacific
25.292,85.523,1987.0,7.0,1627.0,2160.0,Pacific
25.292,85.523,1987.0,7.0,1872.0,2161.0,Pacific
25.292,85.523,1987.0,7.0,2122.0,2159.0,Pacific
25.292,85.523,1987.0,7.0,2362.0,2158.0,Pacific
25.292,85.523,1987.0,7.0,2605.0,2159.0,Pacific
25.292,85.523,1987.0,7.0,2802.0,2160.0,Pacific
25.292,85.523,1987.0,7.0,2947.0,2158.0,Pacific
25.292,85.523,1987.0,7.0,3117.0,2158.0,Pacific
22.772,85.928,1987.0,8.0,30.0,2092.0,Pacific
22.772,85.928,1987.0,8.0,55.0,2106.0,Pacific
22.772,85.928,1987.0,8.0,59.0,2109.0,Pacific
22.772,85.928,1987.0,8.0,73.0,2114.0,Pacific
22.772,85.928,1987.0,8.0,89.0,2111.0,Pacific
22.772,85.928,1987.0,8.0,104.0,2117.0,Pacific
22.772,85.928,1987.0,8.0,126.0,2117.0,Pacific
22.772,85.928,1987.0,8.0,134.0,2109.0,Pacific
22.772,85.928,1987.0,8.0,152.0,2120.0,Pacific
22.772,85.928,1987.0,8.0,173.0,2128.0,Pacific
22.772,85.928,1987.0,8.0,193.0,2130.0,Pacific
22.772,85.928,1987.0,8.0,222.0,2137.0,Pacific
22.772,85.928,1987.0,8.0,256.0,2129.0,Pacific
22.772,85.928,1987.0,8.0,297.0,2138.0,Pacific
22.772,85.928,1987.0,8.0,372.0,2144.0,Pacific
22.772,85.928,1987.0,8.0,494.0,2144.0,Pacific
22.772,85.928,1987.0,8.0,691.0,2144.0,Pacific
22.772,85.928,1987.0,8.0,887.0,2148.0,Pacific
22.772,85.928,1987.0,8.0,987.0,2147.0,Pacific
22.772,85.928,1987.0,8.0,1085.0,2152.0,Pacific
22.772,85.928,1987.0,8.0,1282.0,2154.0,Pacific
22.772,85.928,1987.0,8.0,1479.0,2154.0,Pacific
22.772,85.928,1987.0,8.0,1870.0,2151.0,Pacific
22.772,85.928,1987.0,8.0,1969.0,2156.0,Pacific
22.772,85.928,1987.0,8.0,2067.0,2152.0,Pacific
22.772,85.928,1987.0,8.0,2263.0,2157.0,Pacific
22.772,85.928,1987.0,8.0,2458.0,2156.0,Pacific
22.772,85.928,1987.0,8.0,2464.0,2153.0,Pacific
22.772,85.928,1987.0,8.0,2947.0,2153.0,Pacific
22.772,85.928,1987.0,8.0,3143.0,2154.0,Pacific
22.772,85.928,1987.0,8.0,3337.0,2152.0,Pacific
22.772,85.928,1987.0,8.0,3483.0,2150.0,Pacific
22.772,85.928,1987.0,8.0,3628.0,2152.0,Pacific
22.772,85.928,1987.0,8.0,3774.0,2151.0,Pacific
22.772,85.928,1987.0,8.0,3920.0,2151.0,Pacific
22.772,85.928,1987.0,8.0,4066.0,2156.0,Pacific
22.772,85.928,1987.0,8.0,4211.0,2157.0,Pacific
22.772,85.928,1987.0,8.0,4294.0,2152.0,Pacific
22.772,85.928,1987.0,8.0,4342.0,2153.0,Pacific
22.772,85.928,1987.0,8.0,4391.0,2155.0,Pacific
22.772,85.928,1987.0,8.0,4415.0,2154.0,Pacific
22.772,85.928,1987.0,8.0,4430.0,2154.0,Pacific
22.027,86.108,1987.0,8.0,24.0,2091.0,Pacific
22.027,86.108,1987.0,8.0,39.0,2093.0,Pacific
22.027,86.108,1987.0,8.0,50.0,2107.0,Pacific
22.027,86.108,1987.0,8.0,60.0,2111.0,Pacific
22.027,86.108,1987.0,8.0,69.0,2111.0,Pacific
22.027,86.108,1987.0,8.0,99.0,2103.0,Pacific
22.027,86.108,1987.0,8.0,119.0,2107.0,Pacific
22.027,86.108,1987.0,8.0,137.0,2104.0,Pacific
22.027,86.108,1987.0,8.0,157.0,2120.0,Pacific
22.027,86.108,1987.0,8.0,177.0,2120.0,Pacific
22.027,86.108,1987.0,8.0,197.0,2131.0,Pacific
22.027,86.108,1987.0,8.0,226.0,2130.0,Pacific
22.027,86.108,1987.0,8.0,272.0,2129.0,Pacific
22.027,86.108,1987.0,8.0,305.0,2130.0,Pacific
22.027,86.108,1987.0,8.0,316.0,2133.0,Pacific
22.027,86.108,1987.0,8.0,372.0,2136.0,Pacific
22.027,86.108,1987.0,8.0,394.0,2134.0,Pacific
22.027,86.108,1987.0,8.0,464.0,2138.0,Pacific
22.027,86.108,1987.0,8.0,493.0,2136.0,Pacific
22.027,86.108,1987.0,8.0,543.0,2134.0,Pacific
22.027,86.108,1987.0,8.0,643.0,2136.0,Pacific
22.027,86.108,1987.0,8.0,741.0,2140.0,Pacific
22.027,86.108,1987.0,8.0,844.0,2151.0,Pacific
22.027,86.108,1987.0,8.0,939.0,2155.0,Pacific
22.027,86.108,1987.0,8.0,1085.0,2152.0,Pacific
22.027,86.108,1987.0,8.0,1233.0,2145.0,Pacific
22.027,86.108,1987.0,8.0,1380.0,2152.0,Pacific
22.027,86.108,1987.0,8.0,1528.0,2154.0,Pacific
22.027,86.108,1987.0,8.0,1675.0,2150.0,Pacific
22.027,86.108,1987.0,8.0,1821.0,2153.0,Pacific
22.027,86.108,1987.0,8.0,1872.0,2155.0,Pacific
22.027,86.108,1987.0,8.0,1969.0,2156.0,Pacific
22.027,86.108,1987.0,8.0,2116.0,2156.0,Pacific
22.027,86.108,1987.0,8.0,2411.0,2153.0,Pacific
22.027,86.108,1987.0,8.0,2557.0,2153.0,Pacific
22.027,86.108,1987.0,8.0,2704.0,2151.0,Pacific
22.027,86.108,1987.0,8.0,2801.0,2150.0,Pacific
22.027,86.108,1987.0,8.0,2918.0,2155.0,Pacific
22.027,86.108,1987.0,8.0,3026.0,2151.0,Pacific
22.027,86.108,1987.0,8.0,3123.0,2157.0,Pacific
22.027,86.108,1987.0,8.0,3166.0,2153.0,Pacific
23.023,86.138,1987.0,8.0,6.0,2092.0,Pacific
23.023,86.138,1987.0,8.0,29.0,2090.0,Pacific
23.023,86.138,1987.0,8.0,41.0,2089.0,Pacific
23.023,86.138,1987.0,8.0,45.0,2097.0,Pacific
23.023,86.138,1987.0,8.0,63.0,2112.0,Pacific
23.023,86.138,1987.0,8.0,97.0,2110.0,Pacific
23.023,86.138,1987.0,8.0,119.0,2102.0,Pacific
23.023,86.138,1987.0,8.0,140.0,2105.0,Pacific
23.023,86.138,1987.0,8.0,230.0,2131.0,Pacific
23.023,86.138,1987.0,8.0,268.0,2135.0,Pacific
23.023,86.138,1987.0,8.0,321.0,2137.0,Pacific
23.023,86.138,1987.0,8.0,371.0,2134.0,Pacific
23.023,86.138,1987.0,8.0,445.0,2136.0,Pacific
23.023,86.138,1987.0,8.0,544.0,2136.0,Pacific
21.898,85.382,1987.0,8.0,20.0,2125.0,Pacific
21.898,85.382,1987.0,8.0,40.0,2127.0,Pacific
21.898,85.382,1987.0,8.0,65.0,2120.0,Pacific
21.898,85.382,1987.0,8.0,88.0,2113.0,Pacific
21.898,85.382,1987.0,8.0,119.0,2111.0,Pacific
21.898,85.382,1987.0,8.0,148.0,2120.0,Pacific
21.898,85.382,1987.0,8.0,177.0,2135.0,Pacific
21.898,85.382,1987.0,8.0,217.0,2136.0,Pacific
21.898,85.382,1987.0,8.0,267.0,2143.0,Pacific
21.898,85.382,1987.0,8.0,315.0,2139.0,Pacific
21.898,85.382,1987.0,8.0,395.0,2143.0,Pacific
21.898,85.382,1987.0,8.0,543.0,2153.0,Pacific
21.898,85.382,1987.0,8.0,691.0,2153.0,Pacific
21.898,85.382,1987.0,8.0,888.0,2155.0,Pacific
21.898,85.382,1987.0,8.0,1085.0,2152.0,Pacific
21.898,85.382,1987.0,8.0,1282.0,2157.0,Pacific
21.898,85.382,1987.0,8.0,1478.0,2151.0,Pacific
21.898,85.382,1987.0,8.0,1675.0,2150.0,Pacific
21.898,85.382,1987.0,8.0,1871.0,2149.0,Pacific
21.898,85.382,1987.0,8.0,2067.0,2151.0,Pacific
21.898,85.382,1987.0,8.0,2263.0,2153.0,Pacific
21.898,85.382,1987.0,8.0,2459.0,2156.0,Pacific
21.898,85.382,1987.0,8.0,2654.0,2153.0,Pacific
21.898,85.382,1987.0,8.0,2796.0,2152.0,Pacific
20.027,83.423,1987.0,8.0,27.0,2064.0,Pacific
20.027,83.423,1987.0,8.0,61.0,2080.0,Pacific
20.027,83.423,1987.0,8.0,119.0,2117.0,Pacific
20.027,83.423,1987.0,8.0,144.0,2130.0,Pacific
20.027,83.423,1987.0,8.0,186.0,2137.0,Pacific
20.027,83.423,1987.0,8.0,246.0,2142.0,Pacific
20.027,83.423,1987.0,8.0,335.0,2143.0,Pacific
20.027,83.423,1987.0,8.0,415.0,2147.0,Pacific
